[2025-06-23 08:13:28 : INFO] - Cache for URL: http://localhost/smartco/?elementskit_template=footer-all has been purged, triggered by action: save_post 
[2025-06-23 08:13:28 : INFO] - Cache for URL: http://localhost/smartco/?elementskit_template=footer-all has been purged, triggered by action: save_post 
[2025-06-23 08:13:28 : INFO] - Cache for URL: http://localhost/smartco/?elementskit_template=footer-all has been purged, triggered by action: save_post 
[2025-06-23 08:13:46 : INFO] - Cache for URL: http://localhost/smartco/?elementskit_template=footer-all has been purged, triggered by action: save_post 
[2025-06-23 08:13:46 : INFO] - Cache for URL: http://localhost/smartco/?elementskit_template=footer-all has been purged, triggered by action: save_post 
[2025-06-23 08:13:47 : INFO] - Cache for URL: http://localhost/smartco/?elementskit_template=footer-all has been purged, triggered by action: save_post 
[2025-06-23 08:17:06 : INFO] - Cache for URL: http://localhost/smartco/?elementskit_template=footer-all has been purged, triggered by action: save_post 
[2025-06-23 08:17:06 : INFO] - Cache for URL: http://localhost/smartco/?elementskit_template=footer-all has been purged, triggered by action: save_post 
[2025-06-23 08:17:07 : INFO] - Cache for URL: http://localhost/smartco/?elementskit_template=footer-all has been purged, triggered by action: save_post 
[2025-06-23 08:17:59 : INFO] - Cache for URL: http://localhost/smartco/?elementskit_template=footer-all has been purged, triggered by action: save_post 
[2025-06-23 08:17:59 : INFO] - Cache for URL: http://localhost/smartco/?elementskit_template=footer-all has been purged, triggered by action: save_post 
[2025-06-23 08:18:00 : INFO] - Cache for URL: http://localhost/smartco/?elementskit_template=footer-all has been purged, triggered by action: save_post 
[2025-06-23 08:20:52 : INFO] - Cache for multiple term taxonomy have been purged due to post terms update, triggered by action: set_object_terms 
[2025-06-23 08:20:52 : INFO] - Cache for multiple term taxonomy have been purged due to post terms update, triggered by action: set_object_terms 
[2025-06-23 08:20:52 : INFO] - Cache for multiple term taxonomy have been purged due to post terms update, triggered by action: set_object_terms 
[2025-06-23 08:20:52 : INFO] - Cache for multiple term taxonomy have been purged due to post terms update, triggered by action: set_object_terms 
[2025-06-23 08:21:17 : INFO] - Full Cache Purge triggered by: plugin activation/deactivation 
[2025-06-23 08:22:50 : INFO] - Full Cache Purge triggered by: plugin activation/deactivation 
[2025-06-23 08:23:59 : INFO] - Cache for URL: http://localhost/smartco/?elementskit_template=header-all has been purged, triggered by action: save_post 
[2025-06-23 08:23:59 : INFO] - Cache for URL: http://localhost/smartco/?elementskit_template=header-all has been purged, triggered by action: save_post 
[2025-06-23 08:23:59 : INFO] - Cache for URL: http://localhost/smartco/?elementskit_template=header-all has been purged, triggered by action: save_post 
[2025-06-23 08:24:08 : INFO] - Cache for URL: http://localhost/smartco/?elementskit_template=header-all has been purged, triggered by action: save_post 
[2025-06-23 08:24:08 : INFO] - Cache for URL: http://localhost/smartco/?elementskit_template=header-all has been purged, triggered by action: save_post 
[2025-06-23 08:24:09 : INFO] - Cache for URL: http://localhost/smartco/?elementskit_template=header-all has been purged, triggered by action: save_post 
[2025-06-23 08:24:42 : INFO] - Cache for URL: http://localhost/smartco/ has been purged, triggered by action: save_post 
[2025-06-23 08:25:51 : INFO] - Cache for URL: http://localhost/smartco/?elementskit_template=header-all has been purged, triggered by action: save_post 
[2025-06-23 08:25:51 : INFO] - Cache for URL: http://localhost/smartco/?elementskit_template=header-all has been purged, triggered by action: save_post 
[2025-06-23 08:25:51 : INFO] - Cache for URL: http://localhost/smartco/?elementskit_template=header-all has been purged, triggered by action: save_post 
[2025-06-23 08:26:18 : INFO] - Cache for URL: http://localhost/smartco/ has been purged, triggered by action: save_post 
[2025-06-23 08:30:40 : INFO] - Cache for URL: http://localhost/smartco/ has been purged, triggered by action: save_post 
[2025-06-23 08:30:40 : INFO] - Cache for URL: http://localhost/smartco/ has been purged, triggered by action: save_post 
[2025-06-23 08:30:40 : INFO] - Cache for URL: http://localhost/smartco/ has been purged, triggered by action: save_post 
[2025-06-23 08:33:06 : INFO] - Cache for URL: http://localhost/smartco/?elementor_library=default-kit has been purged, triggered by action: save_post 
[2025-06-23 08:33:06 : INFO] - Cache for URL: http://localhost/smartco/?elementor_library=default-kit has been purged, triggered by action: save_post 
[2025-06-23 08:33:06 : INFO] - Cache for URL: http://localhost/smartco/?elementor_library=default-kit has been purged, triggered by action: save_post 
[2025-06-23 08:34:21 : INFO] - Cache for URL: http://localhost/smartco/?elementor_library=default-kit has been purged, triggered by action: save_post 
[2025-06-23 08:34:21 : INFO] - Cache for URL: http://localhost/smartco/?elementor_library=default-kit has been purged, triggered by action: save_post 
[2025-06-23 08:34:21 : INFO] - Cache for URL: http://localhost/smartco/?elementor_library=default-kit has been purged, triggered by action: save_post 
[2025-06-23 08:35:48 : INFO] - Cache for URL: http://localhost/smartco/ has been purged, triggered by action: save_post 
[2025-06-23 08:35:48 : INFO] - Cache for URL: http://localhost/smartco/ has been purged, triggered by action: save_post 
[2025-06-23 08:35:48 : INFO] - Cache for URL: http://localhost/smartco/ has been purged, triggered by action: save_post 
[2025-06-23 08:43:14 : INFO] - Cache for URL: http://localhost/smartco/ has been purged, triggered by action: save_post 
[2025-06-23 08:43:14 : INFO] - Cache for URL: http://localhost/smartco/ has been purged, triggered by action: save_post 
[2025-06-23 08:43:15 : INFO] - Cache for URL: http://localhost/smartco/ has been purged, triggered by action: save_post 
[2025-06-23 08:44:30 : INFO] - Cache for URL: http://localhost/smartco/ has been purged, triggered by action: save_post 
[2025-06-23 08:44:30 : INFO] - Cache for URL: http://localhost/smartco/ has been purged, triggered by action: save_post 
[2025-06-23 08:44:31 : INFO] - Cache for URL: http://localhost/smartco/ has been purged, triggered by action: save_post 
[2025-06-23 08:44:50 : INFO] - Cache for URL: http://localhost/smartco/ has been purged, triggered by action: save_post 
[2025-06-23 08:44:50 : INFO] - Cache for URL: http://localhost/smartco/ has been purged, triggered by action: save_post 
[2025-06-23 08:44:51 : INFO] - Cache for URL: http://localhost/smartco/ has been purged, triggered by action: save_post 
[2025-06-23 08:46:36 : INFO] - Cache for URL: http://localhost/smartco/ has been purged, triggered by action: save_post 
[2025-06-23 08:46:36 : INFO] - Cache for URL: http://localhost/smartco/ has been purged, triggered by action: save_post 
[2025-06-23 08:46:37 : INFO] - Cache for URL: http://localhost/smartco/ has been purged, triggered by action: save_post 
[2025-06-23 08:51:14 : INFO] - Cache for URL: http://localhost/smartco/ has been purged, triggered by action: save_post 
[2025-06-23 08:51:14 : INFO] - Cache for URL: http://localhost/smartco/ has been purged, triggered by action: save_post 
[2025-06-23 08:51:15 : INFO] - Cache for URL: http://localhost/smartco/ has been purged, triggered by action: save_post 
[2025-06-23 09:19:44 : INFO] - Cache for URL: http://localhost/smartco/ has been purged, triggered by action: save_post 
[2025-06-23 09:19:44 : INFO] - Cache for URL: http://localhost/smartco/ has been purged, triggered by action: save_post 
[2025-06-23 09:19:45 : INFO] - Cache for URL: http://localhost/smartco/ has been purged, triggered by action: save_post 
